Fold	Value	Type	Metric
repeat4_fold1	0.6331	Testset-only	PPV
repeat4_fold2	0.6454	Testset-only	PPV
repeat4_fold3	0.6403	Testset-only	PPV
repeat4_fold4	0.6330	Testset-only	PPV
repeat0_fold0	0.6765	Clustered	PPV
repeat0_fold1	0.6831	Clustered	PPV
repeat0_fold2	0.6575	Clustered	PPV
repeat0_fold3	0.6742	Clustered	PPV
repeat0_fold4	0.6849	Clustered	PPV
repeat1_fold0	0.6661	Clustered	PPV
repeat1_fold1	0.6795	Clustered	PPV
repeat1_fold2	0.6573	Clustered	PPV
repeat1_fold3	0.6759	Clustered	PPV
repeat1_fold4	0.6635	Clustered	PPV
repeat2_fold0	0.6767	Clustered	PPV
repeat2_fold1	0.6716	Clustered	PPV
repeat2_fold2	0.6736	Clustered	PPV
repeat2_fold3	0.6800	Clustered	PPV
repeat2_fold4	0.6829	Clustered	PPV
repeat3_fold0	0.6906	Clustered	PPV
repeat3_fold1	0.6779	Clustered	PPV
repeat3_fold2	0.6720	Clustered	PPV
repeat3_fold3	0.6765	Clustered	PPV
repeat3_fold4	0.6921	Clustered	PPV
repeat4_fold0	0.6721	Clustered	PPV
repeat4_fold1	0.6624	Clustered	PPV
repeat4_fold2	0.6566	Clustered	PPV
repeat4_fold3	0.6747	Clustered	PPV
repeat4_fold4	0.6737	Clustered	PPV
